GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'1_0',0,Leaf,'1'
0001,'Lost-1_0',0,Loss,1
0001,2,0,Sp,2
0001,'Lost-0_3',3,Loss,0
0001,'2_3',3,Leaf,'2'
0001,'2_6',6,Leaf,'2'
0001,6,3,Dup,'2'
0001,7,3,Sp,2
0001,'1_4',4,Leaf,'1'
0001,'2_4',4,Leaf,'2'
0001,10,4,Sp,2
0001,11,3,Dup,2
0001,12,0,Dup,2
0001,'Lost-2_2',2,Loss,2
0001,14,0,Dup,2
0001,'1_1',1,Leaf,'1'
0001,'2_1',1,Leaf,'2'
0001,'2_5',5,Leaf,'2'
0001,18,1,Dup,'2'
0001,19,1,Sp,2
0001,20,0,Dup,2
0001,'3_0',0,Leaf,'3'
0001,22,0,Sp,4
0001,'Lost-17_0',0,Loss,17
0001,'Lost-18_0',0,Loss,18
0001,'11_0',0,Leaf,'11'
0001,'25_0',0,Leaf,'25'
0001,27,0,Sp,21
0001,28,0,Sp,22
0001,'18_0',0,Leaf,'18'
0001,'10_0',0,Leaf,'10'
0001,31,0,Sp,25
0001,32,0,Sp,26
0001,33,0,Sp,27
0001,'Lost-30_0',0,Loss,30
0001,'15_0',0,Leaf,'15'
0001,'12_0',0,Leaf,'12'
0001,'20_0',0,Leaf,'20'
0001,'23_0',0,Leaf,'23'
0001,39,0,Sp,35
0001,40,0,Sp,36
0001,'12_13',13,Leaf,'12'
0001,'20_13',13,Leaf,'20'
0001,'23_13',13,Leaf,'23'
0001,44,13,Sp,35
0001,45,13,Sp,36
0001,46,0,Dup,36
0001,47,0,Sp,37
0001,'21_0',0,Leaf,'21'
0001,'4_0',0,Leaf,'4'
0001,50,0,Sp,40
0001,'21_14',14,Leaf,'21'
0001,'4_14',14,Leaf,'4'
0001,53,14,Sp,40
0001,54,0,Dup,40
0001,55,0,Sp,41
0001,56,0,Sp,42
0001,57,0,Sp,43
0001,'Lost-46_0',0,Loss,46
0001,59,0,Sp,47
0001,'17_7',7,Leaf,'17'
0001,'7_7',7,Leaf,'7'
0001,62,7,Sp,7
0001,'24_7',7,Leaf,'24'
0001,'13_7',7,Leaf,'13'
0001,'5_7',7,Leaf,'5'
0001,'8_7',7,Leaf,'8'
0001,67,7,Sp,12
0001,68,7,Sp,13
0001,69,7,Sp,14
0001,70,7,Sp,15
0001,'22_7',7,Leaf,'22'
0001,'22_9',9,Leaf,'22'
0001,73,7,Dup,'22'
0001,74,7,Sp,17
0001,'19_7',7,Leaf,'19'
0001,'11_7',7,Leaf,'11'
0001,'25_7',7,Leaf,'25'
0001,78,7,Sp,21
0001,79,7,Sp,22
0001,'18_7',7,Leaf,'18'
0001,'10_7',7,Leaf,'10'
0001,82,7,Sp,25
0001,83,7,Sp,26
0001,84,7,Sp,27
0001,'16_7',7,Leaf,'16'
0001,'6_7',7,Leaf,'6'
0001,87,7,Sp,30
0001,'16_10',10,Leaf,'16'
0001,'6_10',10,Leaf,'6'
0001,90,10,Sp,30
0001,91,7,Dup,30
0001,'15_7',7,Leaf,'15'
0001,'12_7',7,Leaf,'12'
0001,'20_7',7,Leaf,'20'
0001,'23_7',7,Leaf,'23'
0001,96,7,Sp,35
0001,97,7,Sp,36
0001,98,7,Sp,37
0001,'Lost-40_7',7,Loss,40
0001,100,7,Sp,41
0001,101,7,Sp,42
0001,102,7,Sp,43
0001,'17_8',8,Leaf,'17'
0001,'7_8',8,Leaf,'7'
0001,105,8,Sp,7
0001,'24_8',8,Leaf,'24'
0001,'13_8',8,Leaf,'13'
0001,'5_8',8,Leaf,'5'
0001,'8_8',8,Leaf,'8'
0001,110,8,Sp,12
0001,111,8,Sp,13
0001,112,8,Sp,14
0001,113,8,Sp,15
0001,'22_8',8,Leaf,'22'
0001,115,8,Sp,17
0001,'Lost-26_8',8,Loss,26
0001,117,8,Sp,27
0001,'16_8',8,Leaf,'16'
0001,'6_8',8,Leaf,'6'
0001,120,8,Sp,30
0001,'Lost-28_11',11,Loss,28
0001,'6_11',11,Leaf,'6'
0001,123,11,Sp,30
0001,124,8,Dup,30
0001,'Lost-31_8',8,Loss,31
0001,'15_12',12,Leaf,'15'
0001,127,8,Dup,'15'
0001,'12_8',8,Leaf,'12'
0001,'20_8',8,Leaf,'20'
0001,'23_8',8,Leaf,'23'
0001,131,8,Sp,35
0001,132,8,Sp,36
0001,133,8,Sp,37
0001,'21_8',8,Leaf,'21'
0001,'4_8',8,Leaf,'4'
0001,136,8,Sp,40
0001,137,8,Sp,41
0001,138,8,Sp,42
0001,139,8,Sp,43
0001,140,7,Dup,43
0001,'9_7',7,Leaf,'9'
0001,'14_7',7,Leaf,'14'
0001,'14_15',15,Leaf,'14'
0001,144,7,Dup,'14'
0001,145,7,Sp,46
0001,146,7,Sp,47
0001,147,0,Dup,47
0001,148,0,Sp,48
0002,'Lost-2_0',0,Loss,2
0002,'3_0',0,Leaf,'3'
0002,2,0,Sp,4
0002,'17_0',0,Leaf,'17'
0002,'7_0',0,Leaf,'7'
0002,5,0,Sp,7
0002,'Lost-14_0',0,Loss,14
0002,7,0,Sp,15
0002,'22_0',0,Leaf,'22'
0002,9,0,Sp,17
0002,'19_0',0,Leaf,'19'
0002,'11_0',0,Leaf,'11'
0002,'25_0',0,Leaf,'25'
0002,13,0,Sp,21
0002,14,0,Sp,22
0002,'18_0',0,Leaf,'18'
0002,'10_0',0,Leaf,'10'
0002,17,0,Sp,25
0002,18,0,Sp,26
0002,'19_3',3,Leaf,'19'
0002,'11_3',3,Leaf,'11'
0002,'25_3',3,Leaf,'25'
0002,22,3,Sp,21
0002,23,3,Sp,22
0002,'18_3',3,Leaf,'18'
0002,'10_3',3,Leaf,'10'
0002,26,3,Sp,25
0002,27,3,Sp,26
0002,28,0,Dup,26
0002,'19_2',2,Leaf,'19'
0002,'11_2',2,Leaf,'11'
0002,'25_2',2,Leaf,'25'
0002,32,2,Sp,21
0002,33,2,Sp,22
0002,'18_2',2,Leaf,'18'
0002,'10_2',2,Leaf,'10'
0002,36,2,Sp,25
0002,37,2,Sp,26
0002,38,0,Dup,26
0002,39,0,Sp,27
0002,'16_0',0,Leaf,'16'
0002,'6_0',0,Leaf,'6'
0002,42,0,Sp,30
0002,'16_6',6,Leaf,'16'
0002,'6_6',6,Leaf,'6'
0002,45,6,Sp,30
0002,46,0,Dup,30
0002,'16_4',4,Leaf,'16'
0002,'6_4',4,Leaf,'6'
0002,49,4,Sp,30
0002,'16_5',5,Leaf,'16'
0002,'6_5',5,Leaf,'6'
0002,52,5,Sp,30
0002,53,4,Dup,30
0002,54,0,Dup,30
0002,'Lost-31_0',0,Loss,31
0002,'12_0',0,Leaf,'12'
0002,'20_0',0,Leaf,'20'
0002,'23_0',0,Leaf,'23'
0002,59,0,Sp,35
0002,60,0,Sp,36
0002,61,0,Sp,37
0002,'21_0',0,Leaf,'21'
0002,'Lost-39_0',0,Loss,39
0002,64,0,Sp,40
0002,65,0,Sp,41
0002,'Lost-31_7',7,Loss,31
0002,'15_8',8,Leaf,'15'
0002,68,7,Dup,'15'
0002,'12_7',7,Leaf,'12'
0002,'20_7',7,Leaf,'20'
0002,'23_7',7,Leaf,'23'
0002,72,7,Sp,35
0002,73,7,Sp,36
0002,'Lost-36_10',10,Loss,36
0002,75,7,Dup,36
0002,'12_9',9,Leaf,'12'
0002,'20_9',9,Leaf,'20'
0002,'23_9',9,Leaf,'23'
0002,79,9,Sp,35
0002,80,9,Sp,36
0002,81,7,Dup,36
