GENE,Gt_node,Lt_node,Lt_paralog
0001,'20_1_0','20_1',1
0001,'20_2_0','20_2',2
0001,2,28,1
0001,'18_1_0','18_1',1
0001,'23_1_0','23_1',1
0001,5,31,1
0001,6,32,1
0001,'22_1_0','22_1',1
0001,8,34,1
0001,'6_0_0','6_0',0
0001,'1_0_0','1_0',0
0001,11,11,0
0001,'4_0_0','4_0',0
0001,13,11,0
0001,'9_0_0','9_0',0
0001,15,13,0
0001,'11_0_0','11_0',0
0001,'8_0_0','8_0',0
0001,'7_0_0','7_0',0
0001,19,20,0
0001,'3_0_0','3_0',0
0001,'13_0_0','13_0',0
0001,22,17,0
0001,23,21,0
0001,24,23,0
0001,25,24,0
0001,'12_0_0','12_0',0
0001,'2_0_0','2_0',0
0001,'10_0_0','10_0',0
0001,29,5,0
0001,30,6,0
0001,31,24,0
0001,32,38,0
0002,'20_0_0','20_0',0
0002,'23_0_0','23_0',0
0002,'18_0_0','18_0',0
0002,3,4,0
0002,4,5,0
0002,'22_0_0','22_0',0
0002,6,7,0
0003,'22_0_0','22_0',0
0003,'18_0_0','18_0',0
0003,'20_0_0','20_0',0
0003,3,41,0
0003,'23_0_0','23_0',0
0003,5,41,0
0003,6,43,0
0003,'7_0_0','7_0',0
0003,'8_0_0','8_0',0
0003,9,32,0
0003,'3_0_0','3_0',0
0003,'13_0_0','13_0',0
0003,12,33,0
0003,13,33,0
0003,'2_0_0','2_0',0
0003,'10_0_0','10_0',0
0003,16,5,0
0003,'2_1_0','2_1',1
0003,'10_1_0','10_1',1
0003,19,8,1
0003,20,9,0
0003,'5_0_0','5_0',0
0003,22,10,0
0003,'9_2_0','9_2',2
0003,'6_2_0','6_2',2
0003,'4_2_0','4_2',2
0003,'1_2_0','1_2',2
0003,27,22,2
0003,28,22,2
0003,29,24,2
0003,'4_0_0','4_0',0
0003,'1_0_0','1_0',0
0003,32,13,0
0003,'6_0_0','6_0',0
0003,34,17,0
0003,'9_0_0','9_0',0
0003,36,17,0
0003,37,25,0
0003,38,26,0
0003,39,36,0
0003,40,46,0
0004,'19_2_0','19_2',2
0004,'17_2_0','17_2',2
0004,2,8,2
0004,'14_7_0','14_7',7
0004,'14_2_0','14_2',2
0004,5,11,2
0004,6,12,2
0004,'21_10_0','21_10',10
0004,'21_9_0','21_9',9
0004,'21_11_0','21_11',11
0004,10,21,9
0004,11,23,9
0004,'21_12_0','21_12',12
0004,'21_2_0','21_2',2
0004,14,17,2
0004,15,25,2
0004,16,27,2
0004,'16_1_0','16_1',1
0004,'16_4_0','16_4',4
0004,19,36,1
0004,'16_3_0','16_3',3
0004,21,38,1
0004,'24_1_0','24_1',1
0004,'15_1_0','15_1',1
0004,'25_1_0','25_1',1
0004,25,33,1
0004,26,33,1
0004,27,39,1
0004,'21_1_0','21_1',1
0004,'17_1_0','17_1',1
0004,'19_1_0','19_1',1
0004,31,42,1
0004,32,56,1
0004,33,57,1
0004,'21_14_0','21_14',14
0004,'21_15_0','21_15',15
0004,36,51,14
0004,'21_5_0','21_5',5
0004,38,54,5
0004,39,57,1
0004,40,58,0
0004,'22_0_0','22_0',0
0004,42,59,0
0005,'8_1_0','8_1',1
0005,'7_1_0','7_1',1
0005,2,25,1
0005,'13_1_0','13_1',1
